phase,requests,requested_bytes,reallocations,live_bytes,peak_live_bytes,le16,le32,le64,le128,le256,le512,gt512
prepare,1350206,95635531,10036,22128644,33117660,931166,199943,49011,170016,15,18,37
run,5010043,281510578,4,22129226,49547053,2223300,836709,840015,930006,180001,6,6
