scenario,mode,pair,side,status,elapsed_ms,wall_seconds,instructions,cycles,control_sha256,files_sha256
call_overhead,plain,2,current,ok,125.0,0.156731,2059563014,605747662,7dfe3a5633a78a9134d82101d8707f3002e13d42ea672d0348f8f3674883d439,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
call_overhead,plain,2,main,ok,118.0,0.148257,1928434804,573680872,7dfe3a5633a78a9134d82101d8707f3002e13d42ea672d0348f8f3674883d439,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
call_overhead,plain,3,main,ok,119.0,0.150249,1928444098,578867237,7dfe3a5633a78a9134d82101d8707f3002e13d42ea672d0348f8f3674883d439,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
call_overhead,plain,3,current,ok,120.0,0.151303,2059542601,584090480,7dfe3a5633a78a9134d82101d8707f3002e13d42ea672d0348f8f3674883d439,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
call_overhead,plain,4,current,ok,120.0,0.151864,2059565028,582322293,7dfe3a5633a78a9134d82101d8707f3002e13d42ea672d0348f8f3674883d439,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
call_overhead,plain,4,main,ok,118.0,0.148371,1928428079,572755032,7dfe3a5633a78a9134d82101d8707f3002e13d42ea672d0348f8f3674883d439,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
call_overhead,plain,5,main,ok,117.0,0.146977,1928429279,565524811,7dfe3a5633a78a9134d82101d8707f3002e13d42ea672d0348f8f3674883d439,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
call_overhead,plain,5,current,ok,127.0,0.158267,2059553755,619219594,7dfe3a5633a78a9134d82101d8707f3002e13d42ea672d0348f8f3674883d439,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
call_overhead,optimize,1,main,ok,128.0,0.160898,1928626229,626529990,7dfe3a5633a78a9134d82101d8707f3002e13d42ea672d0348f8f3674883d439,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
call_overhead,optimize,1,current,ok,120.0,0.150937,2059733464,587862278,7dfe3a5633a78a9134d82101d8707f3002e13d42ea672d0348f8f3674883d439,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
call_overhead,optimize,2,current,ok,119.0,0.149952,2059752930,575422906,7dfe3a5633a78a9134d82101d8707f3002e13d42ea672d0348f8f3674883d439,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
call_overhead,optimize,2,main,ok,122.0,0.152377,1928599810,593505817,7dfe3a5633a78a9134d82101d8707f3002e13d42ea672d0348f8f3674883d439,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
call_overhead,optimize,3,main,ok,120.0,0.149507,1928596622,576190787,7dfe3a5633a78a9134d82101d8707f3002e13d42ea672d0348f8f3674883d439,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
call_overhead,optimize,3,current,ok,122.0,0.154616,2059736195,590818788,7dfe3a5633a78a9134d82101d8707f3002e13d42ea672d0348f8f3674883d439,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
call_overhead,optimize,4,current,ok,127.0,0.15835,2059723671,614634061,7dfe3a5633a78a9134d82101d8707f3002e13d42ea672d0348f8f3674883d439,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
call_overhead,optimize,4,main,ok,124.0,0.15374,1928610215,600553086,7dfe3a5633a78a9134d82101d8707f3002e13d42ea672d0348f8f3674883d439,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
call_overhead,optimize,5,main,ok,119.0,0.149028,1928606831,579168880,7dfe3a5633a78a9134d82101d8707f3002e13d42ea672d0348f8f3674883d439,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
call_overhead,optimize,5,current,ok,121.0,0.152346,2059742089,583991705,7dfe3a5633a78a9134d82101d8707f3002e13d42ea672d0348f8f3674883d439,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
csv_write,plain,1,main,ok,938.0,0.967474,12818989469,4233892046,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write,plain,1,current,ok,1073.0,1.106173,13167041238,4852167442,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write,plain,2,current,ok,1071.0,1.105713,13167053109,4843809305,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write,plain,2,main,ok,940.0,0.972707,12818992823,4248129345,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write,plain,3,main,ok,952.0,1.003425,12819000877,4294850275,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write,plain,3,current,ok,1073.0,1.106238,13167059771,4853699771,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write,optimize,1,main,ok,671.0,0.702937,9843571179,3035893334,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write,optimize,1,current,ok,671.0,0.703187,10015393727,3023813607,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write,optimize,2,current,ok,675.0,0.709139,10015426567,3051579109,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
