scenario,mode,status,runs,main_median_ms,current_median_ms,elapsed_ms_delta_mean,elapsed_ms_delta_min,elapsed_ms_delta_max,instructions_delta_mean,instructions_delta_min,instructions_delta_max,cycles_delta_mean,cycles_delta_min,cycles_delta_max
background_jobs,plain,ok,6,5815.0,6756.0,16.437272203590954,12.594585505296795,20.53494391716997,7.443379253183872,7.43670264132863,7.453232051939773,12.429474336982635,11.645339491021911,13.65746329924946
background_jobs,optimize,ok,6,4933.0,5361.0,8.668540869199719,8.033184945366244,9.29617575264443,6.647752722587515,6.643649251624062,6.652566637307156,8.450436719288373,7.786016340159052,8.992319466604105
bmp_rotate,plain,ok,10,189.0,211.0,13.720969089390147,10.526315789473696,23.15789473684211,1.5863907445937242,1.5854451466352781,1.5871985284444001,13.557139111261657,9.301549114962814,23.65835836190906
bmp_rotate,optimize,ok,10,169.0,174.0,3.210260300839325,1.775147928994092,5.389221556886237,2.298993221643655,2.2986758212752534,2.29942450193501,2.6339158641305938,1.0995907496123891,5.049068132269574
call_overhead,plain,ok,10,118.0,121.0,3.5695593317726892,0.8333333333333304,8.547008547008538,6.79938057291984,6.798148991508901,6.800199106621707,3.8877242931529565,0.9023214074214359,9.49468209980977
call_overhead,optimize,ok,10,122.0,121.0,-0.5884645238317465,-6.25,2.4193548387096753,6.799190528428278,6.797959761647521,6.800432070974849,-0.7004792627967049,-6.171725634394609,2.538742605754307
cbr_rates,plain,ok,10,313.0,330.0,-3.409948159396896,-24.720496894409937,9.27152317880795,0.639459513287659,0.5238274877090054,0.9258495157154378,0.471266297534092,-0.30574960791857064,1.0546686181166498
cbr_rates,optimize,ok,10,1887.0,1913.0,4.827292995722869,-6.167846309403435,20.33271719038816,0.6309495617914784,0.5173918407693767,0.8884015090105057,0.5538656109859952,0.05802730728892147,1.6543976998790288
csv_write,plain,ok,6,940.0,1073.0,13.67952611339868,12.710084033613445,14.392324093816633,2.7151660451599855,2.7151264133704833,2.7151921434537707,13.879085869412407,13.01208331412671,14.603003318993935
csv_write,optimize,ok,6,671.0,675.0,-10.616474945688951,-37.2093023255814,5.359877488514542,1.7456427845504126,1.7455306095267575,1.7457644833242858,-10.67458553278839,-37.52725072209947,5.901391074352258
csv_write_batched,plain,ok,6,46.0,50.0,9.269323671497583,8.695652173913038,10.416666666666675,2.9066242266528355,2.903908927165788,2.909182074035832,8.763935675595421,8.453191129239613,9.275121467700465
csv_write_batched,optimize,ok,6,41.0,41.0,-0.020325203252032537,-2.500000000000002,2.4390243902439046,2.582206281675322,2.5812455885080965,2.5839834847379395,1.6715725622962567,1.0046632813248468,2.887253006012158
edata_writer,plain,ok,10,72.0,72.0,0.8531187122736394,-1.388888888888884,2.857142857142847,0.9944778959938505,0.9636297156079054,1.0888015656949301,1.3918943003068307,-0.2603887370578928,2.389540667216905
edata_writer,optimize,ok,10,69.0,70.0,0.9029453790089237,-2.8169014084507005,5.882352941176472,1.6115618024862188,1.5439618221040785,1.7142323353820377,1.5904441946834247,-1.650433001478313,3.397252170074161
empty_for,plain,ok,10,1.6,1.0,-34.81862745098039,-41.17647058823529,-26.66666666666666,-0.7947683918210147,-0.7968846988741229,-0.789784650569858,-19.854628964711857,-21.359411025945473,-18.436851033698566
empty_for,optimize,ok,10,1.6,1.1,-31.583333333333332,-37.5,-26.66666666666666,-0.7945535046322916,-0.7996730835180599,-0.790471110515345,-19.7189695165816,-21.40673019294308,-18.108918471660928
goto_bench,plain,ok,10,478.0,469.0,-1.4267744550679407,-1.9027484143763207,-1.0460251046025104,4.29761590160473,4.297423319786242,4.29793847728932,-1.4286749604778581,-2.1531406326016245,-0.45328277423895
goto_bench,optimize,ok,10,475.0,473.0,-1.2717008710891564,-4.056795131845847,1.0615711252653925,4.297176686798054,4.29708173053287,4.297251632918697,-1.0668202331509136,-3.4609199002589186,0.6685510271590811
invoice_doc_generator,plain,ok,10,16397.0,16305.0,-0.23093240828897743,-1.409820126397665,0.6809815950920228,0.08849510976334685,-0.010351076681702764,0.21032896438513138,-0.1948449433069177,-1.273219288049643,0.5303371686878888
invoice_doc_generator,optimize,ok,10,16465.0,16287.0,-1.083966468250297,-1.900726392251817,-0.7253443862001663,0.05894142183611617,0.016802619993883106,0.1204317510007824,-0.9486391320823051,-1.5553669340389153,-0.6925674609351562
json_parse,plain,ok,10,237.0,237.0,0.7298297388238306,-2.8806584362139898,7.758620689655182,1.3360193368840845,1.3279377026057748,1.3463562793143868,2.449079202328037,-1.3230251253211867,8.534228543900223
json_parse,optimize,ok,10,238.0,241.0,1.104310407780753,0.0,3.8461538461538547,3.7179965488930877,3.6707211553093755,3.782687234527371,4.363352429855429,2.55242501530879,5.882644361671585
json_write,plain,ok,10,246.0,259.0,5.18669058430437,4.400000000000004,6.1475409836065475,4.020803366813546,4.017721066163871,4.0233968452147995,5.848874628191516,4.733958128899163,6.886311076441176
json_write,optimize,ok,10,222.0,259.0,16.638513513513512,15.625,19.369369369369373,13.096109883662077,13.092191887988491,13.09899496621112,17.244347422666934,15.871167479262738,19.321289964097588
pi_leibniz,plain,ok,10,188.0,182.0,-3.1781640072107886,-4.255319148936165,-1.0695187165775444,-2.5992864234091306,-2.5999473593141365,-2.598882020523907,-2.8383939341786557,-3.9594665243139815,-1.6866910075121755
pi_leibniz,optimize,ok,10,180.0,173.0,-4.512119107176302,-6.989247311827961,-3.3519553072625663,-2.9962852278029395,-2.9966756579275833,-2.995897147515958,-4.142093373177911,-5.444912885090014,-2.1426434811619655
pi_leibniz_15,plain,ok,10,271.0,269.0,-0.8761413668517282,-2.9197080291970767,1.8656716417910557,-1.5982714755067362,-1.5989296665533725,-1.5978285675692816,-0.6750130310588887,-2.453613764151641,1.071158552314433
pi_leibniz_15,optimize,ok,10,246.0,253.0,2.2992282862357394,-3.5573122529644285,8.943089430894302,-2.1061773980899523,-2.106444731960111,-2.1058726505727154,2.7044485808146135,-3.4281230391575823,9.019878945295744
