phase,requests,requested_bytes,reallocations,live_bytes,peak_live_bytes,le16,le32,le64,le128,le256,le512,gt512
prepare,1350206,95635585,10036,22128734,33117750,931163,199946,49011,170016,15,18,37
run,5040061,535326334,16,22129316,77074926,2253300,836709,840015,930006,180001,6,24
