scenario,runtime,run,status,elapsed_ms,wall_seconds
invoice_doc_generator,oscript,1,exit=1,,0.21454446704592556
json_parse,lua,1,ok,886.612,0.9343077309895307
json_parse,lua,2,ok,917.099,0.9675510639790446
json_parse,lua,3,ok,922.716,0.9751965760951862
json_parse,lua,4,ok,917.923,0.970000960980542
json_parse,lua,5,ok,953.81,1.006242375005968
json_parse,luajit,1,ok,567.081,0.6083121820120141
json_parse,luajit,2,ok,549.856,0.5876159929903224
json_parse,luajit,3,ok,713.5,0.7582552339881659
json_parse,luajit,4,ok,551.733,0.5882027860498056
json_parse,luajit,5,ok,541.445,0.5795487380819395
json_parse,python,1,exit=1,,0.06539998110383749
json_parse,oscript,1,ok,1188.0,2.5112042339751497
json_parse,oscript,2,ok,1268.0,2.6017624950036407
json_parse,oscript,3,ok,1252.0,2.5861408199416474
json_parse,oscript,4,ok,1241.0,2.580366090987809
json_parse,oscript,5,ok,1230.0,2.5524990330450237
json_write,lua,1,ok,42.324,0.047021707985550165
json_write,lua,2,ok,40.225,0.0446227400097996
json_write,lua,3,ok,40.563,0.04494411405175924
json_write,lua,4,ok,43.551,0.04806705401279032
json_write,lua,5,ok,41.258,0.0455866880947724
json_write,luajit,1,ok,35.008,0.03838556807022542
json_write,luajit,2,ok,34.783,0.038665641099214554
json_write,luajit,3,ok,31.918,0.035147567046806216
json_write,luajit,4,ok,34.162,0.03755690308753401
json_write,luajit,5,ok,33.9,0.0373714619781822
json_write,python,1,exit=1,,0.05744186695665121
json_write,oscript,1,ok,1484.0,1.7124083180679008
json_write,oscript,2,ok,1448.0,1.679858759045601
json_write,oscript,3,ok,1458.0,1.7051264169858769
json_write,oscript,4,ok,1447.0,1.674159099929966
json_write,oscript,5,ok,1444.0,1.692375962040387
pi_leibniz,lua,1,ok,9.578,0.011015565018169582
pi_leibniz,lua,2,ok,9.182,0.010422459919936955
pi_leibniz,lua,3,ok,10.259,0.011436096974648535
pi_leibniz,lua,4,ok,9.66,0.010909112985245883
pi_leibniz,lua,5,ok,9.359,0.010597991058602929
pi_leibniz,luajit,1,ok,1.036,0.00197237404063344
pi_leibniz,luajit,2,ok,1.026,0.0018722129752859473
pi_leibniz,luajit,3,ok,1.036,0.0018902330193668604
pi_leibniz,luajit,4,ok,1.015,0.0018310430459678173
pi_leibniz,luajit,5,ok,1.024,0.0020352440187707543
pi_leibniz,python,1,ok,652.707,0.670074968948029
pi_leibniz,python,2,ok,650.863,0.668262735940516
pi_leibniz,python,3,ok,652.069,0.6690745720406994
pi_leibniz,python,4,ok,652.388,0.6690763820661232
pi_leibniz,python,5,ok,668.506,0.6849548890022561
pi_leibniz,oscript,1,ok,677.0,0.923410716932267
pi_leibniz,oscript,2,ok,679.0,0.9098672959953547
pi_leibniz,oscript,3,ok,693.0,0.9276170949451625
pi_leibniz,oscript,4,ok,701.0,0.9390504719922319
pi_leibniz,oscript,5,ok,683.0,0.9212622418999672
pi_leibniz_15,lua,,unavailable,,
pi_leibniz_15,luajit,,unavailable,,
pi_leibniz_15,python,1,ok,889.088,0.905061692930758
pi_leibniz_15,python,2,ok,881.026,0.8968278280226514
pi_leibniz_15,python,3,ok,904.874,0.9206759079825133
pi_leibniz_15,python,4,ok,883.502,0.8994168450590223
pi_leibniz_15,python,5,ok,883.175,0.9003886719001457
pi_leibniz_15,oscript,1,ok,968.0,1.204333182075061
pi_leibniz_15,oscript,2,ok,884.0,1.1181237200507894
pi_leibniz_15,oscript,3,ok,877.0,1.1116519060451537
pi_leibniz_15,oscript,4,ok,881.0,1.1041730060242116
pi_leibniz_15,oscript,5,ok,872.0,1.109887953964062
regexp,lua,1,ok,1185.247,1.2009738880442455
regexp,lua,2,ok,1183.99,1.2001765229506418
regexp,lua,3,ok,1178.442,1.1947405659593642
regexp,lua,4,ok,1181.808,1.198637303081341
regexp,lua,5,ok,1181.954,1.199060215963982
regexp,luajit,1,ok,911.92,0.9277355159865692
regexp,luajit,2,ok,886.529,0.9019076320109889
regexp,luajit,3,ok,887.087,0.9026962670031935
regexp,luajit,4,ok,887.073,0.9018301219912246
regexp,luajit,5,ok,887.441,0.9040988569613546
regexp,python,1,ok,780.205,0.8500552519690245
regexp,python,2,ok,795.708,0.8648017719388008
regexp,python,3,ok,778.765,0.8460248350165784
regexp,python,4,ok,787.766,0.8609992359997705
regexp,python,5,ok,810.504,0.882184958900325
regexp,oscript,1,exit=1,,0.22461405489593744
simple_parquet_reader,lua,1,ok,110.519,0.12332526198588312
simple_parquet_reader,lua,2,ok,110.371,0.12361459399107844
simple_parquet_reader,lua,3,ok,108.105,0.12130941799841821
simple_parquet_reader,lua,4,ok,113.637,0.12756829999852926
simple_parquet_reader,lua,5,ok,108.472,0.12093604495748878
simple_parquet_reader,luajit,1,ok,39.926,0.05067872104700655
simple_parquet_reader,luajit,2,ok,39.394,0.04933645308483392
simple_parquet_reader,luajit,3,ok,40.116,0.0537238729884848
simple_parquet_reader,luajit,4,ok,39.907,0.04977686598431319
simple_parquet_reader,luajit,5,ok,38.429,0.04792002297472209
simple_parquet_reader,python,1,exit=1,,0.32855556602589786
simple_parquet_reader,oscript,1,exit=1,,0.2684485500212759
str_concat,lua,1,ok,451.97,0.4565936590079218
str_concat,lua,2,ok,451.535,0.4553309810580686
str_concat,lua,3,ok,451.762,0.4564144080504775
str_concat,lua,4,ok,456.606,0.461139369988814
